Currency,Rate_to_USD,Date
USD,1.0,2025-09-19 18:35:58
AED,3.6725,2025-09-19 18:35:58
AFN,67.278208,2025-09-19 18:35:58
ALL,81.894108,2025-09-19 18:35:58
AMD,382.658593,2025-09-19 18:35:58
ANG,1.79,2025-09-19 18:35:58
AOA,920.224423,2025-09-19 18:35:58
ARS,1474.25,2025-09-19 18:35:58
AUD,1.509639,2025-09-19 18:35:58
AWG,1.79,2025-09-19 18:35:58
AZN,1.700902,2025-09-19 18:35:58
BAM,1.658481,2025-09-19 18:35:58
BBD,2.0,2025-09-19 18:35:58
BDT,121.740368,2025-09-19 18:35:58
BGN,1.6581,2025-09-19 18:35:58
BHD,0.376,2025-09-19 18:35:58
BIF,2973.470934,2025-09-19 18:35:58
BMD,1.0,2025-09-19 18:35:58
BND,1.281579,2025-09-19 18:35:58
BOB,6.921572,2025-09-19 18:35:58
BRL,5.305074,2025-09-19 18:35:58
BSD,1.0,2025-09-19 18:35:58
BTN,88.187873,2025-09-19 18:35:58
BWP,14.160483,2025-09-19 18:35:58
BYN,3.270422,2025-09-19 18:35:58
BZD,2.0,2025-09-19 18:35:58
CAD,1.379142,2025-09-19 18:35:58
CDF,2812.100261,2025-09-19 18:35:58
CHF,0.791759,2025-09-19 18:35:58
CLP,952.973833,2025-09-19 18:35:58
CNY,7.106243,2025-09-19 18:35:58
COP,3872.330761,2025-09-19 18:35:58
CRC,504.111338,2025-09-19 18:35:58
CUP,24.0,2025-09-19 18:35:58
CVE,93.501167,2025-09-19 18:35:58
CZK,20.601152,2025-09-19 18:35:58
DJF,177.721,2025-09-19 18:35:58
DKK,6.32849,2025-09-19 18:35:58
DOP,62.213071,2025-09-19 18:35:58
DZD,129.231637,2025-09-19 18:35:58
EGP,48.183694,2025-09-19 18:35:58
ERN,15.0,2025-09-19 18:35:58
ETB,143.251212,2025-09-19 18:35:58
EUR,0.847881,2025-09-19 18:35:58
FJD,2.237172,2025-09-19 18:35:58
FKP,0.736701,2025-09-19 18:35:58
FOK,6.328636,2025-09-19 18:35:58
GBP,0.736705,2025-09-19 18:35:58
GEL,2.726939,2025-09-19 18:35:58
GGP,0.736701,2025-09-19 18:35:58
GHS,12.616585,2025-09-19 18:35:58
GIP,0.736701,2025-09-19 18:35:58
GMD,73.363167,2025-09-19 18:35:58
GNF,8683.354974,2025-09-19 18:35:58
GTQ,7.662833,2025-09-19 18:35:58
GYD,209.090988,2025-09-19 18:35:58
HKD,7.777881,2025-09-19 18:35:58
HNL,26.223262,2025-09-19 18:35:58
HRK,6.389013,2025-09-19 18:35:58
HTG,130.799905,2025-09-19 18:35:58
HUF,329.668181,2025-09-19 18:35:58
IDR,16530.095795,2025-09-19 18:35:58
ILS,3.341218,2025-09-19 18:35:58
IMP,0.736701,2025-09-19 18:35:58
INR,88.188059,2025-09-19 18:35:58
IQD,1307.648334,2025-09-19 18:35:58
IRR,42388.529956,2025-09-19 18:35:58
ISK,121.367719,2025-09-19 18:35:58
JEP,0.736701,2025-09-19 18:35:58
JMD,160.318106,2025-09-19 18:35:58
JOD,0.709,2025-09-19 18:35:58
JPY,147.605664,2025-09-19 18:35:58
KES,129.143118,2025-09-19 18:35:58
KGS,87.429367,2025-09-19 18:35:58
KHR,4005.289841,2025-09-19 18:35:58
KID,1.509632,2025-09-19 18:35:58
KMF,417.172801,2025-09-19 18:35:58
KRW,1386.922098,2025-09-19 18:35:58
KWD,0.305046,2025-09-19 18:35:58
KYD,0.833333,2025-09-19 18:35:58
KZT,541.061422,2025-09-19 18:35:58
LAK,21682.024278,2025-09-19 18:35:58
LBP,89500.0,2025-09-19 18:35:58
LKR,301.817562,2025-09-19 18:35:58
LRD,177.228979,2025-09-19 18:35:58
LSL,17.35732,2025-09-19 18:35:58
LYD,5.388487,2025-09-19 18:35:58
MAD,8.981197,2025-09-19 18:35:58
MDL,16.489059,2025-09-19 18:35:58
MGA,4443.941465,2025-09-19 18:35:58
MKD,52.128415,2025-09-19 18:35:58
MMK,2100.843731,2025-09-19 18:35:58
MNT,3566.80919,2025-09-19 18:35:58
MOP,8.011218,2025-09-19 18:35:58
MRU,39.972763,2025-09-19 18:35:58
MUR,45.250933,2025-09-19 18:35:58
MVR,15.431131,2025-09-19 18:35:58
MWK,1739.655831,2025-09-19 18:35:58
MXN,18.338415,2025-09-19 18:35:58
MYR,4.195601,2025-09-19 18:35:58
MZN,63.724609,2025-09-19 18:35:58
NAD,17.35732,2025-09-19 18:35:58
NGN,1492.430729,2025-09-19 18:35:58
NIO,36.81265,2025-09-19 18:35:58
NOK,9.865924,2025-09-19 18:35:58
NPR,141.100597,2025-09-19 18:35:58
NZD,1.698291,2025-09-19 18:35:58
OMR,0.384497,2025-09-19 18:35:58
PAB,1.0,2025-09-19 18:35:58
PEN,3.481691,2025-09-19 18:35:58
PGK,4.199757,2025-09-19 18:35:58
PHP,57.150394,2025-09-19 18:35:58
PKR,283.862407,2025-09-19 18:35:58
PLN,3.609821,2025-09-19 18:35:58
PYG,7121.788208,2025-09-19 18:35:58
QAR,3.64,2025-09-19 18:35:58
RON,4.29027,2025-09-19 18:35:58
RSD,99.063673,2025-09-19 18:35:58
RUB,83.130872,2025-09-19 18:35:58
RWF,1451.568565,2025-09-19 18:35:58
SAR,3.75,2025-09-19 18:35:58
SBD,8.203837,2025-09-19 18:35:58
SCR,14.877365,2025-09-19 18:35:58
SDG,511.179587,2025-09-19 18:35:58
SEK,9.34714,2025-09-19 18:35:58
SGD,1.281032,2025-09-19 18:35:58
SHP,0.736701,2025-09-19 18:35:58
SLE,23.268529,2025-09-19 18:35:58
SLL,23268.529122,2025-09-19 18:35:58
SOS,570.76073,2025-09-19 18:35:58
SRD,38.398976,2025-09-19 18:35:58
SSP,4662.599019,2025-09-19 18:35:58
STN,20.775211,2025-09-19 18:35:58
SYP,13081.761922,2025-09-19 18:35:58
SZL,17.35732,2025-09-19 18:35:58
THB,31.873889,2025-09-19 18:35:58
TJS,9.435336,2025-09-19 18:35:58
TMT,3.49916,2025-09-19 18:35:58
TND,2.894074,2025-09-19 18:35:58
TOP,2.362492,2025-09-19 18:35:58
TRY,41.352966,2025-09-19 18:35:58
TTD,6.767346,2025-09-19 18:35:58
TVD,1.509632,2025-09-19 18:35:58
TWD,30.130186,2025-09-19 18:35:58
TZS,2451.945517,2025-09-19 18:35:58
UAH,41.274125,2025-09-19 18:35:58
UGX,3488.943753,2025-09-19 18:35:58
UYU,40.185949,2025-09-19 18:35:58
UZS,12268.921177,2025-09-19 18:35:58
VES,165.4101,2025-09-19 18:35:58
VND,26260.354702,2025-09-19 18:35:58
VUV,117.507344,2025-09-19 18:35:58
WST,2.674153,2025-09-19 18:35:58
XAF,556.230401,2025-09-19 18:35:58
XCD,2.7,2025-09-19 18:35:58
XCG,1.79,2025-09-19 18:35:58
XDR,0.726171,2025-09-19 18:35:58
XOF,556.230401,2025-09-19 18:35:58
XPF,101.189691,2025-09-19 18:35:58
YER,239.665142,2025-09-19 18:35:58
ZAR,17.357331,2025-09-19 18:35:58
ZMW,23.629304,2025-09-19 18:35:58
ZWL,26.5551,2025-09-19 18:35:58
